No,Pattern Category,Pattern Name,Keywords,Problem,Solution,Do,Don't,Code Example,Anti-Pattern,When to Use,Trust Impact,Severity
68,Consent,Training Data Consent,training data consent opt-out privacy usage improve model toggle,"Users don't know their conversations may train the model, eroding trust when discovered","Disclose data usage plainly and offer a clear, honored opt-out from training","State whether chats are used for training and provide an easy, respected toggle",Bury training usage in a ToS and default everyone in silently,<Toggle label='Use my chats to improve the model' default={false} />,chats train the model by default; opt-out hidden 6 clicks deep,Any product that may train on user data,High,High
69,Consent,Permission Scoping,permission scope access agent tools connect grant least-privilege,An agent requests broad access ('read all your email') with no granularity,"Request least-privilege, scoped permissions and show exactly what the agent can touch",Ask for the narrowest scope needed and list granted capabilities transparently,Demand blanket account access up front for a narrow task,<Scopes items={['read: today\'s calendar']} onGrant={...} />,'Grant full access to your account' for a one-off calendar lookup,Agents that connect to user accounts/tools,High,High
70,Consent,Guided First Task,onboarding guided first task activation walkthrough success first-run,New users bounce because they never complete one successful action with the AI,"Guide the user through one real, successful task on first run to prove the value fast",Offer a concrete guided first task with a visible success moment,Drop users at a blank prompt and hope they figure out a good use themselves,"<GuidedTask steps={firstWin} /> // ends in a real, shareable result","empty chat, no path to a first success; user leaves unconvinced",First-run activation of any AI product,Medium,Medium
71,Async,Completion Notification,notification done complete background async finished alert return,"Users start a long task, switch away, and never learn it finished",Notify on completion of long/background tasks so users can safely leave and return,"Send an in-app or push notice when a background run completes, with a deep link",Require users to sit and watch a multi-minute task to catch the result,"notify('Your research report is ready', { link: result })",no completion signal; user must keep the tab open and staring,Long-running or background AI tasks,Medium,Medium
72,Async,Proactive Suggestion,proactive suggestion initiate ambient assistant nudge unprompted opt-in,An assistant that only ever reacts misses chances to help at the right moment,"Let the AI proactively suggest help at relevant moments, always dismissible and non-blocking","Offer timely, dismissible suggestions the user can ignore without friction","Interrupt with modal, unprompted AI suggestions that block the task",<Nudge dismissible>Want me to summarize this thread?</Nudge>,"<Modal>AI suggestion!</Modal> // blocks work, can't be ignored",Assistants embedded in a workflow,Medium,Medium
73,Async,AI Digest,digest summary recap periodic batch briefing catch-up notification,"Users drown in raw activity and want the AI to distill it, not add more noise",Offer an on-demand or scheduled digest that summarizes what changed since last visit,"Provide a concise, skimmable recap with links to detail, on the user's cadence",Push every individual event as its own AI notification,<Digest since={lastSeen} items={changes} />,50 separate 'AI noticed X' pings instead of one digest,"High-activity products (inbox, monitoring, CRM)",Low,Low
74,Evaluation,Trace Inspector,trace debug inspect prompt response tokens developer observability replay,"When output is wrong, developers can't see the exact prompt, context, and params used","Expose a per-response trace: full prompt, retrieved context, tool calls, tokens, and settings",Give a developer-facing 'Inspect' that reveals the complete request/response trace,"Show only the final answer, leaving debugging to guesswork","<Inspect trace={{prompt, context, tools, tokens, params}} />",no trace; a bad answer is unreproducible and un-debuggable,Developer tools and internal AI dashboards,Low,Medium
75,Evaluation,Regression Alert,regression alert eval quality drop monitor score baseline degrade,A prompt or model change silently degrades quality and nobody notices for weeks,Track eval scores over time and alert when a change regresses a key metric,Chart quality metrics against a baseline and flag statistically real drops,Ship prompt/model changes with no before/after quality measurement,if (score < baseline - delta) alert('Quality regression on eval set'),deploy a new prompt on vibes; regressions discovered via complaints,Teams iterating on prompts/models in production,Low,Medium
76,Discovery,Follow-up Suggestions,follow-up suggested questions next continue explore drill-down chips,"After an answer, users don't know what else they can usefully ask",Offer 2-3 relevant follow-up questions to help users go deeper without prompt-writing,Surface contextual follow-up chips derived from the current answer,End the answer with a dead-end and no path to continue,"<FollowUps items={['How does that compare to X?', ...]} />",no suggested next steps; conversation stalls after one answer,Q&A and research assistants,Low,Low
77,Discovery,Query Reformulation,query reformulation did-you-mean refine rephrase clarify ambiguous,A vague or ambiguous query yields a bad answer with no path to fix the input,Detect ambiguity and offer to refine the query or ask one clarifying question first,Propose a sharper rephrasing or ask a single targeted clarifying question,Answer an ambiguous query confidently in the wrong interpretation,'Did you mean sales in 2025 or all-time?' before answering,silently assume one meaning and answer the wrong question,Assistants over ambiguous natural-language input,Medium,Medium
78,Discovery,Answer plus Explore,answer explore split direct sources drill detail progressive,Users get either a terse answer with no depth or a wall of detail with no takeaway,"Lead with a direct answer, then offer an expandable 'explore' layer for depth and sources","Give the headline answer first, with progressive disclosure for the reasoning and sources",Force users to read the full analysis to extract a one-line answer,<Answer summary={tldr}><Details sources={...} /></Answer>,bury the actual answer under five paragraphs of preamble,Research and analytical assistants,Medium,Low
79,Mobile,Thumb-Reach Composer,mobile composer thumb reach bottom input one-hand ergonomics,The prompt input and send sit out of thumb reach on tall phones,Anchor the composer and primary actions in the bottom thumb zone for one-handed use,"Keep the input, send, and voice controls within the bottom third of the screen",Place the send button at the top of the screen where thumbs can't reach,position: sticky; bottom: 0 with actions in the reachable band,send button top-right; requires a two-handed reach every message,Mobile-first AI chat apps,Low,Medium
80,Mobile,Voice-First Toggle,mobile voice toggle push-to-talk hands-free switch input mode,Typing long prompts on mobile is painful and there's no fast voice path,"Offer a prominent, one-tap voice input mode alongside typing on mobile",Provide an easy push-to-talk / voice toggle in the composer,"Hide voice input behind a menu, defaulting to slow on-screen typing",<button aria-label='Voice input'>🎤</button> // in the composer bar,voice buried in settings; long prompts require thumb-typing,Mobile assistants where input length is high,Low,Low
81,Mobile,Interruptible Mobile Stream,mobile streaming scroll interrupt read pace stop autoscroll control,Aggressive auto-scroll on mobile yanks the view while the user is reading earlier text,Pause auto-scroll when the user scrolls up; show a 'jump to latest' affordance instead,Detect manual scroll-up and stop forcing the view to the newest token,Force-scroll to the bottom on every token regardless of where the user is reading,if (userScrolledUp) pauseAutoScroll(); show(<JumpToLatest/>),every token snaps the viewport down; re-reading is impossible,Mobile streaming chat interfaces,Low,Medium
82,Trust & Safety,Knowledge Cutoff Disclosure,cutoff knowledge date training recent events limitation disclose,Users ask about recent events and get confidently outdated answers,Disclose the model's knowledge cutoff and flag when a query likely needs fresher data,State the cutoff when relevant and offer to search live for recent topics,Answer time-sensitive questions as if the model's knowledge were current,'My training goes to early 2026 — want me to search for newer info?',confidently answer 'who won last week' from stale training data,General assistants without live retrieval,High,Medium
83,Trust & Safety,Fact vs Opinion,fact opinion label distinguish subjective claim judgment hedge,The AI states subjective judgments in the same authoritative tone as verifiable facts,Distinguish verifiable facts from the model's opinions or interpretations,Frame subjective content as opinion ('In my assessment...') vs stated fact,"Present interpretations and recommendations as objective, settled truth",'Fact: revenue rose 12%. My read: the trend is fragile.','The strategy is wrong.' // opinion delivered as fact,Advisory and analytical assistants,Medium,Medium
84,Trust & Safety,Escalate to Human,escalate human handoff support agent transfer limit fallback,The AI loops uselessly on a request it can't handle instead of getting a human,Detect when the AI is stuck or the stakes are high and offer a clean human handoff,Provide an obvious 'talk to a human' path and pass full context on escalation,Trap the user in an AI loop with no route to a person,<button onClick={escalate}>Talk to a human</button> // sends transcript,endless AI retries; no escape to human support,Support and high-stakes assistants,High,High
85,Trust & Safety,Sensitive Topic Care,sensitive crisis safety mental-health harm care resources tone,"The AI responds to distress or crisis with a generic, tone-deaf, or unsafe reply","Detect sensitive contexts and respond with care, appropriate resources, and no false expertise","Shift to a careful tone, avoid clinical overreach, and surface real help resources",Handle a crisis message like any other query with a breezy generic answer,detectSensitive(msg) → careful tone + <Resources helplines />,reply to a distress message with an upbeat generic productivity tip,Any consumer assistant reachable by vulnerable users,High,High
86,Errors,Model Fallback,fallback model failover degrade backup switch retry alternative resilience,"When the primary model is down or overloaded, the whole feature just fails",Fall back to an alternate model on failure and quietly note the degraded mode,"Retry on a backup model automatically and, if quality differs, tell the user",Return a hard error the moment the primary model is unavailable,catch { return callFallbackModel(prompt) } // note reduced capability,500 error to the user whenever the primary provider hiccups,Production AI features needing reliability,Medium,Medium
87,Errors,Content Filter Explanation,content filter blocked safety flagged explain moderation transparency,A moderation filter blocks output with a blank or cryptic message,"When a safety filter triggers, explain briefly what happened and what the user can do","Give a short, non-accusatory reason and a path to rephrase or appeal",Return an empty response or a bare 'content blocked' with no context,'That response was filtered for safety. Try rephrasing your request.',silent empty output; user thinks the app is broken,Assistants with output moderation,Medium,Medium
88,Cost,Spend Cap Control,budget cap spend limit cost control ceiling guard alert quota,Automated agents can rack up large API costs with no ceiling,Let users set a spend cap and warn or pause when a run approaches the limit,Expose a budget ceiling and halt or confirm before exceeding it,Run agents unbounded with no cost ceiling or warning,if (runCost > cap) pause('Budget cap reached — continue?'),agent loops burn $50 of tokens with no cap or alert,Autonomous or high-volume AI workloads,Medium,High
89,Cost,Batch vs Realtime Choice,batch realtime async cost tradeoff cheaper wait speed choice,Users pay realtime prices for work that isn't urgent,Offer a cheaper batch/async option for non-urgent tasks alongside realtime,Let users trade speed for cost with a clear batch option and ETA,Force every request through the expensive realtime path,[Instant · full price] [Batch · 50% off · ~2h] // user chooses,no async tier; overnight bulk jobs billed at realtime rates,Metered products with non-urgent workloads,Low,Low
90,Latency,Progressive Skeleton,skeleton placeholder structure loading progressive shape scaffold,A blank area during generation gives no sense of the answer's shape or length,"Show a structural skeleton (headings, list rows) that fills in as content streams","Render placeholder structure matching the expected output, then hydrate it",Show a bare spinner with no hint of the response's structure or size,<Skeleton lines={3} /> then swap in streamed content,"<Spinner/> // no structural preview, feels longer than it is","Structured AI outputs (reports, lists, tables)",Low,Low
91,Latency,Intent Prefetch,prefetch predictive speculative start early intent warm anticipate,"Generation only starts after the user hits send, adding avoidable wait","Warm up or speculatively start on strong intent signals (pause, selection) to cut latency","Prefetch likely context or pre-warm the model on clear intent, discard if unused","Do all setup lazily after send, so the user waits through cold-start every time",onSelectText(() => prewarmContext(selection)) // ready on send,everything begins at send; no speculative warm-up,Latency-sensitive assistive features,Low,Low
92,Onboarding,Capability Boundary Card,limits cant-do boundaries capability honest scope expectations,"Users assume the AI can do things it can't, then feel misled when it fails",State key limits up front ('I can't access the internet / your files') alongside strengths,Show an honest 'what I can and can't do' card during onboarding,Market unbounded capability and let users discover limits through failure,<Card><Can>{strengths}</Can><Cant>{limits}</Cant></Card>,'Ask me anything!' with no mention of real constraints,First-run of any assistant with hard limits,Medium,Medium
93,Onboarding,Sample Output Preview,sample example preview output quality show expectation demo before,Users can't tell what 'good' output looks like before investing effort in a prompt,Show a real sample input and its output so users calibrate expectations instantly,"Preview a concrete example result, not just a description of the feature",Describe the feature in abstract copy with no example of the actual output,<Example input={demoPrompt} output={demoResult} />,'Generates professional summaries' // no sample to judge quality,Feature onboarding and marketing surfaces,Low,Low
94,Accessibility,Keyboard-First Operation,keyboard accessibility navigation focus shortcuts operate a11y no-mouse,"Core chat actions (send, stop, regenerate, copy) require a mouse",Make every primary AI action keyboard-operable with visible focus and shortcuts,"Provide focusable controls, logical tab order, and documented shortcuts",Bind actions to click-only handlers with no keyboard equivalent,onKeyDown handlers for send/stop/regenerate + visible :focus-visible ring,regenerate/stop only reachable by mouse; no focus indication,Any AI interface aiming for accessibility,Medium,High
95,Accessibility,Generated Image Alt Text,alt text generated image accessibility describe screen reader caption,"AI-generated images ship with no alt text, invisible to screen-reader users",Auto-generate descriptive alt text for AI images and let users edit it before use,Produce and attach editable alt text to every generated image,Output images with empty or filename-only alt attributes,<img src={gen} alt={aiDescribe(gen)} /> // user-editable,<img src={gen} alt='' /> // inaccessible generated media,Image-generation products,Medium,Medium
96,Memory,Cross-Session Continuity,continuity resume session pick-up-where recap return context bridge,Returning users are dropped cold with no bridge to what they were doing last time,"On return, offer a short recap and a one-tap resume of the prior task or thread",Surface 'Pick up where you left off' with a concise recap of recent context,"Start every session from zero, forcing users to rebuild context manually",<Resume last={lastThread} recap={summary} />,cold blank start; user re-explains context they gave yesterday,Assistants used across multiple sessions,Medium,Medium
97,Streaming,Anchored Streaming Citations,citation streaming anchor stable reflow inline attach live source,Citations added after streaming cause text to reflow and jump under the reader,Reserve space and anchor citation markers during streaming to avoid layout jumps,"Attach citation markers inline as they stream, with stable reserved positioning","Append all citations after streaming, shifting text the user is mid-read on",inline <cite> tokens streamed in place; no post-hoc reflow,"citations injected at end → paragraph reflows, reader loses place",Streaming RAG answers with inline sources,Medium,Low
98,Prompt Input,Prompt History Recall,history recall previous prompt up-arrow reuse edit resend composer,Users retype or hunt for a prompt they sent minutes ago,Let users recall and edit recent prompts quickly (e.g. Up-arrow in an empty composer),Provide keyboard recall of prior prompts for fast reuse and iteration,Force users to scroll the transcript and copy-paste an old prompt,if (empty && ArrowUp) loadPrompt(history[--i]),no recall; iterating on a prompt means retyping it each time,Power-user and developer AI tools,Low,Low
99,Feedback,Undo AI Action,undo revert AI action mistake reverse rollback safety confidence,"When an AI applies a change or action, a mistake feels irreversible and scary",Provide immediate undo for AI-applied actions so users act with confidence,"Offer a prominent Undo right after any AI-applied change, with a grace window","Apply AI actions with no undo, making every acceptance high-stakes","toast('Applied AI edit', { action: { label: 'Undo', onClick: revert } })","AI action committed instantly, no undo; users hesitate to try it",AI tools that mutate user content or state,High,High
100,Discovery,Empty Result Guidance,empty no results zero guidance next-step suggestion recover dead-end,"When the AI finds nothing, users hit a dead-end with no idea what to try next",Turn empty results into guidance: why nothing matched and concrete next steps,Explain the likely reason for no result and suggest a broader or altered query,Show a bare 'No results' with no explanation or recovery path,"'Nothing matched ""X"". Try removing filters or searching ""Y"".'","'No results found.' // dead-end, no way forward","Search, retrieval, and query assistants",Low,Low
